arch,layer,K,O,S,IC,OC
cifar10_vggsmall,features.0,3,32,1,3,128
cifar10_vggsmall,features.3,3,32,1,128,128
cifar10_vggsmall,features.7,3,16,1,128,256
cifar10_vggsmall,features.10,3,16,1,256,256
cifar10_vggsmall,features.14,3,8,1,256,512
cifar10_vggsmall,features.17,3,8,1,512,512
