arch,layer,K,O,S,IC,OC
resnet34,conv1,7,112,2,3,64
resnet34,layer1.0.conv1,3,56,1,64,64
resnet34,layer1.0.conv2,3,56,1,64,64
resnet34,layer1.1.conv1,3,56,1,64,64
resnet34,layer1.1.conv2,3,56,1,64,64
resnet34,layer1.2.conv1,3,56,1,64,64
resnet34,layer1.2.conv2,3,56,1,64,64
resnet34,layer2.0.conv1,3,28,2,64,128
resnet34,layer2.0.conv2,3,28,1,128,128
resnet34,layer2.0.downsample.0,1,28,2,64,128
resnet34,layer2.1.conv1,3,28,1,128,128
resnet34,layer2.1.conv2,3,28,1,128,128
resnet34,layer2.2.conv1,3,28,1,128,128
resnet34,layer2.2.conv2,3,28,1,128,128
resnet34,layer2.3.conv1,3,28,1,128,128
resnet34,layer2.3.conv2,3,28,1,128,128
resnet34,layer3.0.conv1,3,14,2,128,256
resnet34,layer3.0.conv2,3,14,1,256,256
resnet34,layer3.0.downsample.0,1,14,2,128,256
resnet34,layer3.1.conv1,3,14,1,256,256
resnet34,layer3.1.conv2,3,14,1,256,256
resnet34,layer3.2.conv1,3,14,1,256,256
resnet34,layer3.2.conv2,3,14,1,256,256
resnet34,layer3.3.conv1,3,14,1,256,256
resnet34,layer3.3.conv2,3,14,1,256,256
resnet34,layer3.4.conv1,3,14,1,256,256
resnet34,layer3.4.conv2,3,14,1,256,256
resnet34,layer3.5.conv1,3,14,1,256,256
resnet34,layer3.5.conv2,3,14,1,256,256
resnet34,layer4.0.conv1,3,7,2,256,512
resnet34,layer4.0.conv2,3,7,1,512,512
resnet34,layer4.0.downsample.0,1,7,2,256,512
resnet34,layer4.1.conv1,3,7,1,512,512
resnet34,layer4.1.conv2,3,7,1,512,512
resnet34,layer4.2.conv1,3,7,1,512,512
resnet34,layer4.2.conv2,3,7,1,512,512
