arch,layer,K,O,S,IC,OC
vgg11,features.0,3,224,1,3,64
vgg11,features.3,3,112,1,64,128
vgg11,features.6,3,56,1,128,256
vgg11,features.8,3,56,1,256,256
vgg11,features.11,3,28,1,256,512
vgg11,features.13,3,28,1,512,512
vgg11,features.16,3,14,1,512,512
vgg11,features.18,3,14,1,512,512
