,K,O,S,IC,OC,iprec,wprec,cycle
146,1,56,1,256,128,8,8,202198
147,3,8,1,256,512,2,2,23478
148,3,8,1,256,512,2,3,29622
149,3,8,1,256,512,2,4,35766
150,3,8,1,256,512,2,5,41910
151,3,8,1,256,512,2,6,48054
152,3,8,1,256,512,2,7,54198
153,3,8,1,256,512,2,8,60342
154,3,8,1,256,512,3,2,23612
155,3,8,1,256,512,3,3,39100
156,3,8,1,256,512,3,4,38332
157,3,8,1,256,512,3,5,74780
158,3,8,1,256,512,3,6,74828
159,3,8,1,256,512,3,7,74876
160,3,8,1,256,512,3,8,75196
161,3,8,1,256,512,4,2,23745
162,3,8,1,256,512,4,3,39233
163,3,8,1,256,512,4,4,38465
164,3,8,1,256,512,4,5,74694
165,3,8,1,256,512,4,6,74796
166,3,8,1,256,512,4,7,74844
167,3,8,1,256,512,4,8,74892
168,3,8,1,256,512,5,2,38412
169,3,8,1,256,512,5,3,74940
170,3,8,1,256,512,5,4,74724
171,3,8,1,256,512,5,5,148174
172,3,8,1,256,512,5,6,148344
173,3,8,1,256,512,5,7,148368
174,3,8,1,256,512,5,8,148392
175,3,8,1,256,512,6,2,38332
176,3,8,1,256,512,6,3,74900
177,3,8,1,256,512,6,4,74704
178,3,8,1,256,512,6,5,148260
179,3,8,1,256,512,6,6,148334
180,3,8,1,256,512,6,7,148358
181,3,8,1,256,512,6,8,148382
182,3,8,1,256,512,7,2,38398
183,3,8,1,256,512,7,3,74933
184,3,8,1,256,512,7,4,74720
185,3,8,1,256,512,7,5,148318
186,3,8,1,256,512,7,6,148342
187,3,8,1,256,512,7,7,148366
188,3,8,1,256,512,7,8,148390
189,3,8,1,256,512,8,2,38465
190,3,8,1,256,512,8,3,74796
191,3,8,1,256,512,8,4,74737
192,3,8,1,256,512,8,5,147966
193,3,8,1,256,512,8,6,147990
194,3,8,1,256,512,8,7,148014
195,3,8,1,256,512,8,8,148038
196,3,8,1,512,512,2,2,36033
197,3,8,1,512,512,2,3,48321
198,3,8,1,512,512,2,4,60609
199,3,8,1,512,512,2,5,75425
200,3,8,1,512,512,2,6,85185
201,3,8,1,512,512,2,7,97473
202,3,8,1,512,512,2,8,109761
203,3,8,1,512,512,3,2,47223
204,3,8,1,512,512,3,3,74800
205,3,8,1,512,512,3,4,74896
206,3,8,1,512,512,3,5,148430
207,3,8,1,512,512,3,6,148478
208,3,8,1,512,512,3,7,148526
209,3,8,1,512,512,3,8,148574
210,3,8,1,512,512,4,2,47489
211,3,8,1,512,512,4,3,74833
212,3,8,1,512,512,4,4,77142
213,3,8,1,512,512,4,5,148446
214,3,8,1,512,512,4,6,148494
215,3,8,1,512,512,4,7,148542
216,3,8,1,512,512,4,8,148590
217,3,8,1,512,512,5,2,74770
218,3,8,1,512,512,5,3,148002
219,3,8,1,512,512,5,4,148050
220,3,8,1,512,512,5,5,295404
221,3,8,1,512,512,5,6,295428
222,3,8,1,512,512,5,7,295452
223,3,8,1,512,512,5,8,295476
224,3,8,1,512,512,6,2,74804
225,3,8,1,512,512,6,3,148014
226,3,8,1,512,512,6,4,148062
227,3,8,1,512,512,6,5,295410
228,3,8,1,512,512,6,6,295434
229,3,8,1,512,512,6,7,295458
230,3,8,1,512,512,6,8,295482
231,3,8,1,512,512,7,2,74837
232,3,8,1,512,512,7,3,148026
233,3,8,1,512,512,7,4,148448
234,3,8,1,512,512,7,5,295416
235,3,8,1,512,512,7,6,295440
236,3,8,1,512,512,7,7,295464
237,3,8,1,512,512,7,8,295488
238,3,8,1,512,512,8,2,74870
239,3,8,1,512,512,8,3,148038
240,3,8,1,512,512,8,4,148465
241,3,8,1,512,512,8,5,295422
242,3,8,1,512,512,8,6,295446
243,3,8,1,512,512,8,7,295470
244,3,8,1,512,512,8,8,295494
245,3,7,1,512,512,2,2,33372
246,3,7,1,512,512,2,3,45660
247,3,7,1,512,512,2,4,57948
248,3,7,1,512,512,2,5,70236
249,3,7,1,512,512,2,6,82524
250,3,7,1,512,512,2,7,94812
251,3,7,1,512,512,2,8,107100
252,3,7,1,512,512,3,2,33588
253,3,7,1,512,512,3,3,57908
254,3,7,1,512,512,3,4,58164
255,3,7,1,512,512,3,5,114308
256,3,7,1,512,512,3,6,114356
257,3,7,1,512,512,3,7,114404
258,3,7,1,512,512,3,8,114452
259,3,7,1,512,512,4,2,42167
260,3,7,1,512,512,4,3,58556
261,3,7,1,512,512,4,4,71340
262,3,7,1,512,512,4,5,113714
263,3,7,1,512,512,4,6,113762
264,3,7,1,512,512,4,7,113810
265,3,7,1,512,512,4,8,120492
266,3,7,1,512,512,5,2,57299
267,3,7,1,512,512,5,3,113631
268,3,7,1,512,512,5,4,113679
269,3,7,1,512,512,5,5,226470
270,3,7,1,512,512,5,6,226494
271,3,7,1,512,512,5,7,226518
272,3,7,1,512,512,5,8,226542
273,3,7,1,512,512,6,2,57326
274,3,7,1,512,512,6,3,113645
275,3,7,1,512,512,6,4,113693
276,3,7,1,512,512,6,5,226476
277,3,7,1,512,512,6,6,226500
278,3,7,1,512,512,6,7,226524
279,3,7,1,512,512,6,8,226548
280,3,7,1,512,512,7,2,57353
281,3,7,1,512,512,7,3,113658
282,3,7,1,512,512,7,4,113706
283,3,7,1,512,512,7,5,226483
284,3,7,1,512,512,7,6,226507
285,3,7,1,512,512,7,7,226531
286,3,7,1,512,512,7,8,226555
287,3,7,1,512,512,8,2,59756
288,3,7,1,512,512,8,3,113672
289,3,7,1,512,512,8,4,113720
290,3,7,1,512,512,8,5,226490
291,3,7,1,512,512,8,6,226514
292,3,7,1,512,512,8,7,226538
293,3,7,1,512,512,8,8,226562
294,1,28,2,64,128,2,2,34316
295,1,28,2,64,128,2,3,34230
296,1,28,2,64,128,2,4,34316
297,1,28,2,64,128,2,5,34188
298,1,28,2,64,128,2,6,34230
299,1,28,2,64,128,2,7,34273
300,1,28,2,64,128,2,8,34316
301,1,28,2,64,128,3,2,34406
302,1,28,2,64,128,3,3,34364
303,1,28,2,64,128,3,4,34406
304,1,28,2,64,128,3,5,34449
305,1,28,2,64,128,3,6,34492
306,1,28,2,64,128,3,7,34534
307,1,28,2,64,128,3,8,34577
308,1,28,2,64,128,4,2,34668
309,1,28,2,64,128,4,3,34625
310,1,28,2,64,128,4,4,34668
311,1,28,2,64,128,4,5,34710
312,1,28,2,64,128,4,6,34753
313,1,28,2,64,128,4,7,34796
314,1,28,2,64,128,4,8,34838
315,1,28,2,64,128,5,2,34844
316,1,28,2,64,128,5,3,34886
317,1,28,2,64,128,5,4,34929
318,1,28,2,64,128,5,5,34972
319,1,28,2,64,128,5,6,35014
320,1,28,2,64,128,5,7,35057
321,1,28,2,64,128,5,8,35100
322,1,28,2,64,128,6,2,35105
323,1,28,2,64,128,6,3,35148
324,1,28,2,64,128,6,4,35190
325,1,28,2,64,128,6,5,35233
326,1,28,2,64,128,6,6,35276
327,1,28,2,64,128,6,7,35318
328,1,28,2,64,128,6,8,35361
329,1,28,2,64,128,7,2,35366
330,1,28,2,64,128,7,3,35409
331,1,28,2,64,128,7,4,35452
332,1,28,2,64,128,7,5,35494
333,1,28,2,64,128,7,6,35537
334,1,28,2,64,128,7,7,35580
335,1,28,2,64,128,7,8,35622
336,1,28,2,64,128,8,2,35628
337,1,28,2,64,128,8,3,35670
338,1,28,2,64,128,8,4,35713
339,1,28,2,64,128,8,5,35756
340,1,28,2,64,128,8,6,35798
341,1,28,2,64,128,8,7,35841
342,1,28,2,64,128,8,8,35884
343,3,7,2,256,512,2,2,21252
344,3,7,2,256,512,2,3,27396
345,3,7,2,256,512,2,4,33540
346,3,7,2,256,512,2,5,39684
347,3,7,2,256,512,2,6,45828
348,3,7,2,256,512,2,7,51972
349,3,7,2,256,512,2,8,58116
350,3,7,2,256,512,3,2,29915
351,3,7,2,256,512,3,3,36059
352,3,7,2,256,512,3,4,42203
353,3,7,2,256,512,3,5,57324
354,3,7,2,256,512,3,6,58574
355,3,7,2,256,512,3,7,60635
356,3,7,2,256,512,3,8,71916
357,3,7,2,256,512,4,2,30215
358,3,7,2,256,512,4,3,36359
359,3,7,2,256,512,4,4,42503
360,3,7,2,256,512,4,5,58284
361,3,7,2,256,512,4,6,58724
362,3,7,2,256,512,4,7,60935
363,3,7,2,256,512,4,8,76716
364,3,7,2,256,512,5,2,44652
365,3,7,2,256,512,5,3,57635
366,3,7,2,256,512,5,4,57351
367,3,7,2,256,512,5,5,113634
368,3,7,2,256,512,5,6,113658
369,3,7,2,256,512,5,7,113682
370,3,7,2,256,512,5,8,113706
371,3,7,2,256,512,6,2,47540
372,3,7,2,256,512,6,3,57710
373,3,7,2,256,512,6,4,59828
374,3,7,2,256,512,6,5,113652
375,3,7,2,256,512,6,6,113676
376,3,7,2,256,512,6,7,113700
377,3,7,2,256,512,6,8,113724
378,3,7,2,256,512,7,2,47840
379,3,7,2,256,512,7,3,57785
380,3,7,2,256,512,7,4,60128
381,3,7,2,256,512,7,5,113671
382,3,7,2,256,512,7,6,113695
383,3,7,2,256,512,7,7,113719
384,3,7,2,256,512,7,8,113743
385,3,7,2,256,512,8,2,48140
386,3,7,2,256,512,8,3,57860
387,3,7,2,256,512,8,4,60428
388,3,7,2,256,512,8,5,113690
389,3,7,2,256,512,8,6,113714
390,3,7,2,256,512,8,7,113738
391,3,7,2,256,512,8,8,113762
392,3,7,2,512,512,2,2,42503
393,3,7,2,512,512,2,3,54791
394,3,7,2,512,512,2,4,76716
395,3,7,2,512,512,2,5,89004
396,3,7,2,512,512,2,6,101292
397,3,7,2,512,512,2,7,113580
398,3,7,2,512,512,2,8,125868
399,3,7,2,512,512,3,2,59828
400,3,7,2,512,512,3,3,72116
401,3,7,2,512,512,3,4,84404
402,3,7,2,512,512,3,5,113772
403,3,7,2,512,512,3,6,113820
404,3,7,2,512,512,3,7,121268
405,3,7,2,512,512,3,8,135468
406,3,7,2,512,512,4,2,60428
407,3,7,2,512,512,4,3,72716
408,3,7,2,512,512,4,4,85004
409,3,7,2,512,512,4,5,113810
410,3,7,2,512,512,4,6,115172
411,3,7,2,512,512,4,7,121868
412,3,7,2,512,512,4,8,145068
413,3,7,2,512,512,5,2,80940
414,3,7,2,512,512,5,3,113751
415,3,7,2,512,512,5,4,113799
416,3,7,2,512,512,5,5,226530
417,3,7,2,512,512,5,6,226554
418,3,7,2,512,512,5,7,226578
419,3,7,2,512,512,5,8,226602
420,3,7,2,512,512,6,2,90540
421,3,7,2,512,512,6,3,113789
422,3,7,2,512,512,6,4,115116
423,3,7,2,512,512,6,5,226548
424,3,7,2,512,512,6,6,226572
425,3,7,2,512,512,6,7,226596
426,3,7,2,512,512,6,8,226620
427,3,7,2,512,512,7,2,95679
428,3,7,2,512,512,7,3,113826
429,3,7,2,512,512,7,4,120255
430,3,7,2,512,512,7,5,226567
431,3,7,2,512,512,7,6,226591
432,3,7,2,512,512,7,7,226615
433,3,7,2,512,512,7,8,226639
434,3,7,2,512,512,8,2,96279
435,3,7,2,512,512,8,3,114308
436,3,7,2,512,512,8,4,120855
437,3,7,2,512,512,8,5,226586
438,3,7,2,512,512,8,6,226610
439,3,7,2,512,512,8,7,226634
440,3,7,2,512,512,8,8,226658
441,7,112,2,3,64,2,2,1229666
442,7,112,2,3,64,2,3,1229751
443,7,112,2,3,64,2,4,1229837
444,7,112,2,3,64,2,5,1229815
445,7,112,2,3,64,2,6,1229879
446,7,112,2,3,64,2,7,1229943
447,7,112,2,3,64,2,8,1230007
448,7,112,2,3,64,3,2,1229739
449,7,112,2,3,64,3,3,1229760
450,7,112,2,3,64,3,4,1229824
451,7,112,2,3,64,3,5,1229835
452,7,112,2,3,64,3,6,1229888
453,7,112,2,3,64,3,7,1229942
454,7,112,2,3,64,3,8,1229995
455,7,112,2,3,64,4,2,1229810
456,7,112,2,3,64,4,3,1229831
457,7,112,2,3,64,4,4,1229895
458,7,112,2,3,64,4,5,1229906
459,7,112,2,3,64,4,6,1229959
460,7,112,2,3,64,4,7,1230013
461,7,112,2,3,64,4,8,1230066
462,7,112,2,3,64,5,2,1229838
463,7,112,2,3,64,5,3,1229870
464,7,112,2,3,64,5,4,1229924
465,7,112,2,3,64,5,5,1229977
466,7,112,2,3,64,5,6,1230030
467,7,112,2,3,64,5,7,1230084
468,7,112,2,3,64,5,8,1230137
469,7,112,2,3,64,6,2,1229909
470,7,112,2,3,64,6,3,1229941
471,7,112,2,3,64,6,4,1229994
472,7,112,2,3,64,6,5,1230048
473,7,112,2,3,64,6,6,1230101
474,7,112,2,3,64,6,7,1230154
475,7,112,2,3,64,6,8,1230208
476,7,112,2,3,64,7,2,1229980
477,7,112,2,3,64,7,3,1230012
478,7,112,2,3,64,7,4,1230065
479,7,112,2,3,64,7,5,1230119
480,7,112,2,3,64,7,6,1230172
481,7,112,2,3,64,7,7,1230225
482,7,112,2,3,64,7,8,1230279
483,7,112,2,3,64,8,2,1229458
484,7,112,2,3,64,8,3,1229490
485,7,112,2,3,64,8,4,1229543
486,7,112,2,3,64,8,5,1229597
487,7,112,2,3,64,8,6,1229650
488,7,112,2,3,64,8,7,1229703
489,7,112,2,3,64,8,8,1229757
490,3,13,1,192,384,2,2,41665
491,3,13,1,192,384,2,3,54658
492,3,13,1,192,384,2,4,57574
493,3,13,1,192,384,2,5,94113
494,3,13,1,192,384,2,6,97569
495,3,13,1,192,384,2,7,101025
496,3,13,1,192,384,2,8,104481
497,3,13,1,192,384,3,2,46369
498,3,13,1,192,384,3,3,65004
499,3,13,1,192,384,3,4,67138
500,3,13,1,192,384,3,5,110867
501,3,13,1,192,384,3,6,113011
502,3,13,1,192,384,3,7,116467
503,3,13,1,192,384,3,8,131138
504,3,13,1,192,384,4,2,51073
505,3,13,1,192,384,4,3,73090
506,3,13,1,192,384,4,4,76546
507,3,13,1,192,384,4,5,118681
508,3,13,1,192,384,4,6,122137
509,3,13,1,192,384,4,7,125593
510,3,13,1,192,384,4,8,140545
511,3,13,1,192,384,5,2,65814
512,3,13,1,192,384,5,3,111415
513,3,13,1,192,384,5,4,124351
514,3,13,1,192,384,5,5,219839
515,3,13,1,192,384,5,6,219935
516,3,13,1,192,384,5,7,220031
517,3,13,1,192,384,5,8,220127
518,3,13,1,192,384,6,2,65926
519,3,13,1,192,384,6,3,111454
520,3,13,1,192,384,6,4,128598
521,3,13,1,192,384,6,5,219878
522,3,13,1,192,384,6,6,219974
523,3,13,1,192,384,6,7,220070
524,3,13,1,192,384,6,8,220166
525,3,13,1,192,384,7,2,65366
526,3,13,1,192,384,7,3,111493
527,3,13,1,192,384,7,4,128572
528,3,13,1,192,384,7,5,219917
529,3,13,1,192,384,7,6,220013
530,3,13,1,192,384,7,7,220109
531,3,13,1,192,384,7,8,220310
532,3,13,1,192,384,8,2,69633
533,3,13,1,192,384,8,3,111770
534,3,13,1,192,384,8,4,128588
535,3,13,1,192,384,8,5,220081
536,3,13,1,192,384,8,6,220766
537,3,13,1,192,384,8,7,220958
538,3,13,1,192,384,8,8,230449
539,1,14,1,256,1024,2,2,70155
540,1,14,1,256,1024,2,3,71521
541,1,14,1,256,1024,2,4,72886
542,1,14,1,256,1024,2,5,74251
543,1,14,1,256,1024,2,6,75617
544,1,14,1,256,1024,2,7,76982
545,1,14,1,256,1024,2,8,78347
546,1,14,1,256,1024,3,2,71201
547,1,14,1,256,1024,3,3,74134
548,1,14,1,256,1024,3,4,75499
549,1,14,1,256,1024,3,5,80001
550,1,14,1,256,1024,3,6,81366
551,1,14,1,256,1024,3,7,82732
552,1,14,1,256,1024,3,8,84097
553,1,14,1,256,1024,4,2,71724
554,1,14,1,256,1024,4,3,75179
555,1,14,1,256,1024,4,4,76545
556,1,14,1,256,1024,4,5,82092
557,1,14,1,256,1024,4,6,83457
558,1,14,1,256,1024,4,7,84822
559,1,14,1,256,1024,4,8,86188
560,1,14,1,256,1024,5,2,72246
561,1,14,1,256,1024,5,3,76225
562,1,14,1,256,1024,5,4,77590
563,1,14,1,256,1024,5,5,101172
564,1,14,1,256,1024,5,6,101257
565,1,14,1,256,1024,5,7,101342
566,1,14,1,256,1024,5,8,101428
567,1,14,1,256,1024,6,2,72769
568,1,14,1,256,1024,6,3,77270
569,1,14,1,256,1024,6,4,78635
570,1,14,1,256,1024,6,5,101190
571,1,14,1,256,1024,6,6,101276
572,1,14,1,256,1024,6,7,101548
573,1,14,1,256,1024,6,8,102113
574,1,14,1,256,1024,7,2,73292
575,1,14,1,256,1024,7,3,78315
576,1,14,1,256,1024,7,4,79681
577,1,14,1,256,1024,7,5,101638
578,1,14,1,256,1024,7,6,101809
579,1,14,1,256,1024,7,7,101980
580,1,14,1,256,1024,7,8,102150
581,1,14,1,256,1024,8,2,73814
582,1,14,1,256,1024,8,3,79361
583,1,14,1,256,1024,8,4,80726
584,1,14,1,256,1024,8,5,101676
