config,latency(ms),power(mWatt)
width_14-height_14-cin_280-cout_1976-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1976-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1976-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1976-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1976-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1976-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1976-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1980-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1984-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_8-layer,0.109493,0.026327573318464706
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_8-layer,0.111336375,0.027189145671336394
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_8-layer,0.111336375,0.027189145671336394
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1988-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_8-layer,0.111336375,0.027189145671336394
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_8-layer,0.111336375,0.027189145671336394
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_4-wb_8-layer,0.111336375,0.027189145671336394
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1992-kernel_1-stride_2-pad_SAME-group_1-fb_8-wb_8-layer,0.111336375,0.027189145671336394
width_14-height_14-cin_280-cout_1996-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_2-layer,0.0769015,0.027001549537258963
width_14-height_14-cin_280-cout_1996-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_4-layer,0.08673075000000001,0.02733693193619029
width_14-height_14-cin_280-cout_1996-kernel_1-stride_2-pad_SAME-group_1-fb_2-wb_8-layer,0.111336375,0.027189145671336394
