config,latency(ms),power(mWatt)
layer-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.071812125,0.026037634347159284
layer-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07182012499999998,0.026243653189390256
layer-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07180675,0.025934675684167963
layer-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.071812125,0.026037634347159284
layer-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07182012499999998,0.026243653189390256
layer-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07180675,0.025934675684167963
layer-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.071812125,0.026037634347159284
layer-width_56-height_56-cin_12-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07182012499999998,0.026243653189390256
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.071802125,0.02477257626832766
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.07180275,0.024785474827883226
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07180375,0.024811250494679072
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.071802125,0.02477257626832766
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.07180275,0.024785474827883226
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07180375,0.024811250494679072
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.071802125,0.02477257626832766
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.07180275,0.024785474827883226
layer-width_56-height_56-cin_12-cout_4-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07180375,0.024811250494679072
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.1387135,0.02603075954476137
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.138724125,0.026137371006153345
layer-width_56-height_56-cin_12-cout_40-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.138740125,0.02635065467024274
layer-width_56-height_56-cin_12-cout_44-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.1387135,0.02603075954476137
